"Name";"Typ";"Name_sci";"Name_eng";"Name_alt";"Familie";"Gattung";"Lebensraum";"Lebensraum2";"Lebensraum3";"Lebensraum4"
"Neuntöter";"Vögel";"Lanius collurio";"Red-backed Shrike";;"Würger";"Echte Würger";"Magerrasen";"Hartholzaue";;
"Wendehals";"Vögel";"Jynx torquilla";"Eurasian Wryneck";;"Spechte (Picidae)";"Wendehälse";"Hartholzaue";;;
"Springfrosch";"Amphibien";"Rana dalmatina";"agile frog";;"Echte Frösche (Ranidae)";"Echte Frösche (Rana)";"Hartholzaue";"Stillgewässer";"Feuchtwiesen";"Weichholzaue"
"Kleiner Wasserfrosch";"Amphibien";"Rana lessonae";"water frog";"Grünfrösche";"Echte Frösche (Ranidae)";"Wasserfrösche (Pelophylax)";"Stillgewässer";;;
"Teichfrosch";"Amphibien";"Rana kl. Esculenta";"edible frog";"Wasserfrosch oder Grünfrosch";"Echte Frösche (Ranidae)";"Wasserfrösche (Pelophylax)";"Stillgewässer";;;
"Erdkröte";"Amphibien";"Bufo bufo";"common toad";;"Kröten (Bufonidae)";"Echte Kröten (Bufo)";"Hartholzaue";"Weichholzaue";"Stillgewässer";
"Teichmolch";"Amphibien";"Triturus vulgaris";"smooth newt";;"Echte Salamander (Salamandridae)";"Lissotriton";"Stillgewässer";;;
"Bergmolch";"Amphibien";"Ichthyosaura alpestris;  Triturus alpestris";"alpine newt";"Alpenmolch";"Echte Salamander (Salamandridae)";"Ichthyosaura";"Stillgewässer";;;
"Gelbbauchunke";"Amphibien";"Bombina variegata";"yellow-bellied toad";"Bergunke";"Unken und Barbourfrösche (Bombinatoridae)";"Unken (Bombina)";"Stillgewässer";;;
"Laubfrosch";"Amphibien";"Hyla arborea";"european tree frog";"Europäischer Laubfrosch";"Laubfrösche i. w. S. (Hylidae)";"Laubfrösche (Hyla)";"Stillgewässer";"Weichholzaue";;
"Kammmolch";"Amphibien";"Triturus cristatus";"northern crested newt";"nördlicher Kammmolch";"Echte Salamander (Salamandridae)";"Triturus";"Stillgewässer";;;
"Moorfrosch";"Amphibien";"Rana arvalis";"moor frog";;"Echte Frösche (Ranidae)";"Echte Frösche (Rana)";"Weichholzaue";"Stillgewässer";"Feuchtwiesen";
"Kreuzkröte";"Amphibien";"Bufo calamita";"natterjack toad";;"Kröten (Bufonidae)";"Epidalea";"Magerrasen";"Stillgewässer";;
"Blindschleiche";"Reptilien";"Anguis fragilis";"slow worm";"Westliche Blindschleiche";"Schleichen (Anguidae)";"Anguis";"Hartholzaue";;;
"Ringelnatter";"Reptilien";"Natrix natrix";"grass snake";;"Nattern (Colubridae)";"Europäische Wassernattern";"Stillgewässer";"Weichholzaue";"Feuchtwiesen";
"Zauneidechse";"Reptilien";"Lacerta agilis";"sand lizard";;"Echte Eidechsen (Lacertidae)";"Lacerta";"Magerrasen";;;
"Sumpf-Schildkröte";"Reptilien";"Emys orbicularis";"european pond turtle";;"Neuwelt-Sumpfschildkröten (Emydidae)";"Europäische Sumpfschildkröte";"Stillgewässer";;;
"Flussneunauge";"Fische";"Lampetra fluviatilis";"european river lamprey";;"Petromyzontidae";"Lampetra";"Fließgewässer";;;
"Bachneunauge";"Fische";"Lampetra planeri";"European brook lamprey";;"Petromyzontidae";"Lampetra";"Fließgewässer";;;
"Atlantischer Lachs";"Fische";"Salmo salar";"salmon";"Salm";"Lachsfische (Salmonidae)";"Salmo";"Fließgewässer";;;
"Bitterling";"Fische";"Rhodeus amarus";"european bitterling";;"Bitterlinge";;"Stillgewässer";;;
"Schlammpeitzger";"Fische";"Misgurnus fossilis";"pond loach";"Schlammbeißer";"Steinbeißer (Cobitidae)";"Schlammpeitzger";"Fließgewässer";"Stillgewässer";;
"Steinbeißer";"Fische";"Cobitis taenia";"spined loach";"Dorngrundel";"Steinbeißer (Cobitidae)";"Cobitis";"Fließgewässer";;;
